"Identificador do processo de viagem";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000015766177";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"130007";"SECRETARIA DE DEFESA AGROPECUARIA/MAPA";"DIÁRIAS                       ";"67,68"
"0000000000015766225";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"PASSAGEM                      ";"2865,56"
"0000000000015766225";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170007";"COORD.-GERAL DE DESENVOL.INSTITUCIONAL-CODIN/";"DIÁRIAS                       ";"180,38"
"0000000000015766454";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"150002";"SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC";"DIÁRIAS                       ";"193,18"
"0000000000015766454";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"150002";"SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC";"PASSAGEM                      ";"2128,27"
"0000000000015766529";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"130007";"SECRETARIA DE DEFESA AGROPECUARIA/MAPA";"DIÁRIAS                       ";"692,40"
"0000000000015766653";"81000";"MINIST. MULHER, FAMILIA E DIREITOS HUMANOS";"30202";"FUNDACAO NACIONAL DO INDIO";"194035";"FUNAI-SEDE BRASILIA/DF";"PASSAGEM                      ";"1612,43"
"0000000000015766653";"81000";"MINIST. MULHER, FAMILIA E DIREITOS HUMANOS";"30202";"FUNDACAO NACIONAL DO INDIO";"194035";"FUNAI-SEDE BRASILIA/DF";"PASSAGEM                      ";"1614,21"
"0000000000015766814";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170337";"DELEGACIA DA RFB EM FLORIANO";"DIÁRIAS                       ";"67,68"
"0000000000015766871";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170182";"ALFANDEGA DA RFB PORTO DE RIO GRANDE";"DIÁRIAS                       ";"51,33"
"0000000000015767138";"26000";"MINISTERIO DA EDUCACAO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"PASSAGEM                      ";"1083,47"
"0000000000015767199";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170185";"DELEGACIA DA RFB EM SANTO ANGELO";"DIÁRIAS                       ";"88,50"
"0000000000015767806";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170161";"DELEGACIA DA RFB EM MARINGA";"DIÁRIAS                       ";"67,68"
"0000000000015767808";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170161";"DELEGACIA DA RFB EM MARINGA";"DIÁRIAS                       ";"67,68"
"0000000000015767813";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170161";"DELEGACIA DA RFB EM MARINGA";"DIÁRIAS                       ";"67,68"
"0000000000015767983";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170585";"SECRETARIA DE PREVIDÊNCIA";"PASSAGEM                      ";"1661,39"
"0000000000015767983";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170585";"SECRETARIA DE PREVIDÊNCIA";"DIÁRIAS                       ";"207,10"
"0000000000015767983";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA - UNIDADES COM VÍNCULO DIRETO";"170585";"SECRETARIA DE PREVIDÊNCIA";"PASSAGEM                      ";"2003,66"
"0000000000015768171";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"554,96"
"0000000000015768179";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550006";"COORDENACAO GERAL DE REC. HUMANOS/ M.D.S.";"DIÁRIAS                       ";"431,30"
"0000000000015768179";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"PASSAGEM                      ";"1324,39"
"0000000000015768179";"55000";"MINISTERIO DA CIDADANIA";"55000";"MINISTERIO DA CIDADANIA - UNIDADES COM VÍNCULO DIRETO";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"PASSAGEM                      ";"847,98"
