"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015765742";"2";"20190108";"Brasil";"Paraíba";"Campina Grande";"20190108";"Brasil";"Paraíba";"João Pessoa";"Veículo Oficial";",50";"Não"
"0000000000015765773";"2";"20190109";"Brasil";"Distrito Federal";"Brasília";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015765773";"1";"20190109";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190109";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765872";"2";"20190110";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",50";"Não"
"0000000000015765872";"1";"20190110";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015765920";"2";"20190111";"Brasil";"Ceará";"Camocim";"20190111";"Brasil";"Ceará";"Acaraú";"Veículo Oficial";",50";"Não"
"0000000000015765920";"1";"20190110";"Brasil";"Ceará";"Acaraú";"20190111";"Brasil";"Ceará";"Camocim";"Veículo Oficial";"1,00";"Sim"
"0000000000015766013";"2";"20190131";"Brasil";"Distrito Federal";"Brasília";"20190131";"Brasil";"São Paulo";"São Paulo";"Aéreo";",50";"Não"
"0000000000015766013";"1";"20190130";"Brasil";"São Paulo";"São Paulo";"20190131";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"1,00";"Sim"
"0000000000015766072";"1";"20190107";"Brasil";"Minas Gerais";"Belo Horizonte";"20190107";"Brasil";"Minas Gerais";"Sabará";"Veículo Oficial";",00";"Sim"
